variant_id,parameter_group,parameter_value,risk_weight,elasticity_scale,historical_share_weight,order_cap_factor,order_cap_kg,selected_sku_count,expected_service_loss,mean_demand_satisfaction,expected_profit_yuan,lower10pct_profit_yuan,risk_adjusted_profit_yuan,total_order_qty_kg,assortment_size,optimization_stage1_service_loss,optimization_stage2_service_loss,service_tolerance,selection_jaccard_vs_baseline
baseline,baseline,1.0,0.25,1.0,0.5,1.0,362.26266428064804,33,0.22192072383072475,0.7780792761692752,163.75171706580994,-422.81316184538895,17.11049733801022,362.26266428064804,33,0.1975102992099795,0.2144303503007547,0.016920050090775,1.0
risk_weight_0.00,risk_weight,0.0,0.0,1.0,0.5,1.0,362.26266428064804,33,0.22181587831970015,0.7781841216802998,167.53091572494867,-432.3413751702204,167.53091572494867,362.26266428064815,33,0.1975102992099795,0.2144303503007546,0.016920050090775,1.0
risk_weight_0.50,risk_weight,0.5,0.5,1.0,0.5,1.0,362.26266428064804,33,0.2199430821364558,0.7800569178635441,151.4510268405665,-421.62581232586723,-135.08739274265037,362.2626642806481,33,0.1975102992099795,0.21443035030050894,0.016920050090775,1.0
elasticity_scale_0.80,elasticity_scale,0.8,0.25,0.8,0.5,1.0,362.26266428064804,33,0.22278195993239336,0.7772180400676066,178.45855397398694,-411.0427068740583,31.083238761975636,362.262664280648,33,0.19872953804345622,0.21562197598741786,0.016892436943961437,1.0
elasticity_scale_1.20,elasticity_scale,1.2,0.25,1.2,0.5,1.0,362.26266428064804,33,0.2205758912652925,0.7794241087347075,153.51890550315173,-432.5730326593209,6.9959209625335745,362.26266428064804,33,0.1963777855036048,0.21334147519455016,0.016963688690945555,1.0
historical_share_weight_0.25,historical_share_weight,0.25,0.25,1.0,0.25,1.0,362.26266428064804,33,0.17174530655815037,0.8282546934418497,356.55759830418276,-268.7514263194585,200.23034214827248,362.262664280648,33,0.1551319909226127,0.17304829805511168,0.017916306132498932,0.9411764705882353
historical_share_weight_0.75,historical_share_weight,0.75,0.25,1.0,0.75,1.0,362.26266428064804,33,0.28138685802196045,0.7186131419780395,-51.832231703560126,-599.7970593685294,-188.82343861980246,362.26266428064804,33,0.2475249580357701,0.26441723804446493,0.01689227900869453,0.8333333333333334
order_cap_factor_0.850,order_cap_factor,0.85,0.25,1.0,0.5,0.85,307.92326463855085,33,0.2556073390095227,0.7443926609904773,235.22118001991132,-264.99146090980076,110.16801978748329,307.9232646385508,33,0.23277119077571717,0.2497989497661164,0.01702775799039919,1.0
order_cap_factor_0.925,order_cap_factor,0.925,0.25,1.0,0.5,0.925,335.09296445959944,33,0.23731146622705845,0.7626885337729415,197.41849036320716,-345.2343799609264,61.75527278217376,335.0929644595995,33,0.21389672125082504,0.2307980272247988,0.01690130497397382,1.0
