parameter,value,weekly_expected_profit_yuan,weekly_worst10pct_mean_profit_yuan,mean_stockout_probability,mean_markup_rate,markups_at_upper_bound,weekly_replenishment_kg
goodwill_cost_ratio,0.0,4417.442030799118,1374.1856644568886,0.6632936507936508,0.8921597103230932,4,1917.3794105309564
goodwill_cost_ratio,0.05,4266.968253991908,1024.2304720671016,0.6394444444444445,0.8919317958343042,3,1964.581750838232
goodwill_cost_ratio,0.1,4125.778310170496,323.95603904329096,0.6101984126984127,0.8915603015725118,3,2030.5747875258742
goodwill_cost_ratio,0.2,3820.0639130059058,-1283.680963514442,0.5790873015873016,0.8901995906247286,3,2088.232299658071
reference_penalty_weight,0.0,4492.387312319949,683.0399516852225,0.6051984126984127,0.9048988106494132,3,2031.009987929287
reference_penalty_weight,50.0,4261.225113310308,453.357422935131,0.6059920634920635,0.9024672208911245,3,2030.5166616867361
reference_penalty_weight,500.0,3218.367566450305,-181.90867905488432,0.677142857142857,0.7186882874882075,1,1993.3465589986956
