k,silhouette,calinski_harabasz,davies_bouldin,min_cluster_size,cluster_sizes,bootstrap_ari_mean,bootstrap_ari_std,bootstrap_reps_valid
2,0.2085752138,13.90314749,1.899826567,28,"[28, 36]",0.5568406221,0.3933509206,100
3,0.2236496394,14.92746978,1.655454014,14,"[14, 20, 30]",0.8112457102,0.153311352,100
4,0.239356821,13.44683479,1.641958043,9,"[9, 12, 13, 30]",0.7278279278,0.1449338356,100
5,0.2350985268,13.01836938,1.50238667,5,"[5, 6, 7, 17, 29]",0.8266529206,0.1175060425,100
6,0.2450103097,12.12099352,1.333912287,2,"[2, 4, 5, 6, 18, 29]",0.7963851187,0.1356588734,100
7,0.2166585525,11.29563679,1.341378342,2,"[2, 3, 5, 5, 6, 18, 25]",0.704396331,0.1280992318,100
8,0.1955172949,10.75645685,1.264182028,1,"[1, 1, 3, 5, 6, 10, 12, 26]",0.6932654275,0.1217128289,100
